2018-07-11-18:57:42.285715 12
2018-07-11-18:57:48.108187 train_net
2018-07-11-18:57:48.188978 target_net
2018-07-11-18:57:48.278601 10
2018-07-11-18:58:00.349137 updated agent
2018-07-11-18:58:00.442561 updated agent
2018-07-11-18:58:00.532325 updated agent
2018-07-11-18:58:00.621832 updated agent
2018-07-11-18:58:00.709811 updated agent
2018-07-11-18:58:00.797425 updated agent
2018-07-11-18:58:00.882887 updated agent
2018-07-11-18:58:00.975094 updated agent
2018-07-11-18:58:01.066085 updated agent
2018-07-11-18:58:01.152703 updated agent
2018-07-11-18:58:01.244500 updated agent
2018-07-11-18:58:01.332949 updated agent
2018-07-11-18:58:01.421751 updated agent
2018-07-11-18:58:01.518349 updated agent
2018-07-11-18:58:01.607655 updated agent
2018-07-11-18:58:01.695935 updated agent
2018-07-11-18:58:01.784937 updated agent
2018-07-11-18:58:01.881063 updated agent
2018-07-11-18:58:01.972138 updated agent
2018-07-11-18:58:02.063174 updated agent
2018-07-11-18:58:02.153334 updated agent
2018-07-11-18:58:02.243079 updated agent
2018-07-11-18:58:02.330397 updated agent
2018-07-11-18:58:02.418960 updated agent
2018-07-11-18:58:02.509543 updated agent
2018-07-11-18:58:02.596781 updated agent
2018-07-11-18:58:02.683987 updated agent
2018-07-11-18:58:02.773327 updated agent
2018-07-11-18:58:02.866842 updated agent
2018-07-11-18:58:02.962895 updated agent
2018-07-11-18:58:03.061839 updated agent
2018-07-11-18:58:03.151177 updated agent
2018-07-11-18:58:03.242026 updated agent
2018-07-11-18:58:03.331529 updated agent
2018-07-11-18:58:03.419445 updated agent
2018-07-11-18:58:03.513290 updated agent
2018-07-11-18:58:03.607265 updated agent
2018-07-11-18:58:03.699465 updated agent
2018-07-11-18:58:03.788926 updated agent
2018-07-11-18:58:03.878342 updated agent
2018-07-11-18:58:03.966223 updated agent
2018-07-11-18:58:04.053938 updated agent
2018-07-11-18:58:04.145349 updated agent
2018-07-11-18:58:04.233886 updated agent
2018-07-11-18:58:04.325935 updated agent
2018-07-11-18:58:04.414113 updated agent
2018-07-11-18:58:04.500938 updated agent
2018-07-11-18:58:04.591191 updated agent
2018-07-11-18:58:04.682565 updated agent
2018-07-11-18:58:04.771996 updated agent
2018-07-11-18:58:04.861638 updated agent
2018-07-11-18:58:04.950295 updated agent
2018-07-11-18:58:05.043017 updated agent
2018-07-11-18:58:05.132024 updated agent
2018-07-11-18:58:05.218416 updated agent
2018-07-11-18:58:05.305101 updated agent
2018-07-11-18:58:05.393561 updated agent
2018-07-11-18:58:05.481372 updated agent
2018-07-11-18:58:05.572306 updated agent
2018-07-11-18:58:05.661121 updated agent
2018-07-11-18:58:05.762422 updated agent
2018-07-11-18:58:05.866051 updated agent
2018-07-11-18:58:05.968633 updated agent
2018-07-11-18:58:06.085543 updated agent
2018-07-11-18:58:06.201543 updated agent
2018-07-11-18:58:06.295564 updated agent
2018-07-11-18:58:06.401669 updated agent
2018-07-11-18:58:06.532750 updated agent
2018-07-11-18:58:06.640597 updated agent
2018-07-11-18:58:06.726886 updated agent
2018-07-11-18:58:06.826873 updated agent
2018-07-11-18:58:06.927377 updated agent
2018-07-11-18:58:07.021028 updated agent
2018-07-11-18:58:07.127360 updated agent
2018-07-11-18:58:07.249041 updated agent
2018-07-11-18:58:07.348469 updated agent
2018-07-11-18:58:07.434747 updated agent
2018-07-11-18:58:07.535103 updated agent
2018-07-11-18:58:07.652557 updated agent
2018-07-11-18:58:07.753414 updated agent
2018-07-11-18:58:07.864574 updated agent
2018-07-11-18:58:07.994038 updated agent
2018-07-11-18:58:08.118457 updated agent
2018-07-11-18:58:08.242766 updated agent
2018-07-11-18:58:08.371165 updated agent
2018-07-11-18:58:08.488974 updated agent
2018-07-11-18:58:08.602409 updated agent
2018-07-11-18:58:08.709804 updated agent
2018-07-11-18:58:08.833359 updated agent
2018-07-11-18:58:08.949851 updated agent
2018-07-11-18:58:09.050130 updated agent
2018-07-11-18:58:09.160874 updated agent
2018-07-11-18:58:09.259844 updated agent
2018-07-11-18:58:09.359392 updated agent
2018-07-11-18:58:09.466821 updated agent
2018-07-11-18:58:09.601482 updated agent
2018-07-11-18:58:09.719972 updated agent
2018-07-11-18:58:09.843132 updated agent
2018-07-11-18:58:09.975620 updated agent
2018-07-11-18:58:10.083801 updated agent
2018-07-11-18:58:10.214349 updated agent
2018-07-11-18:58:10.337821 updated agent
2018-07-11-18:58:10.472024 updated agent
2018-07-11-18:58:10.608318 updated agent
2018-07-11-18:58:10.716348 updated agent
2018-07-11-18:58:10.810724 updated agent
2018-07-11-18:58:10.910891 updated agent
2018-07-11-18:58:11.004565 updated agent
2018-07-11-18:58:11.106343 updated agent
2018-07-11-18:58:11.199414 updated agent
2018-07-11-18:58:11.291890 updated agent
2018-07-11-18:58:11.380740 updated agent
2018-07-11-18:58:11.469265 updated agent
2018-07-11-18:58:11.560275 updated agent
2018-07-11-18:58:11.647657 updated agent
2018-07-11-18:58:11.741424 updated agent
2018-07-11-18:58:11.856216 updated agent
2018-07-11-18:58:11.945588 updated agent
2018-07-11-18:58:12.034843 updated agent
2018-07-11-18:58:12.121140 updated agent
2018-07-11-18:58:12.210433 updated agent
2018-07-11-18:58:12.297809 updated agent
2018-07-11-18:58:12.389206 updated agent
2018-07-11-18:58:12.504888 updated agent
2018-07-11-18:58:12.620336 updated agent
2018-07-11-18:58:12.727594 updated agent
2018-07-11-18:58:12.835321 updated agent
2018-07-11-18:58:12.952733 updated agent
2018-07-11-18:58:13.048850 updated agent
2018-07-11-18:58:13.157606 updated agent
2018-07-11-18:58:13.272515 updated agent
2018-07-11-18:58:13.372513 updated agent
2018-07-11-18:58:13.471392 updated agent
2018-07-11-18:58:13.602072 updated agent
2018-07-11-18:58:13.726948 updated agent
2018-07-11-18:58:13.843420 updated agent
2018-07-11-18:58:13.968818 updated agent
2018-07-11-18:58:14.081640 updated agent
2018-07-11-18:58:14.182126 updated agent
2018-07-11-18:58:14.311278 updated agent
2018-07-11-18:58:14.424356 updated agent
2018-07-11-18:58:14.551417 updated agent
2018-07-11-18:58:14.695495 updated agent
2018-07-11-18:58:14.804902 updated agent
2018-07-11-18:58:14.892179 updated agent
2018-07-11-18:58:15.001316 updated agent
2018-07-11-18:58:15.144387 updated agent
2018-07-11-18:58:15.263412 updated agent
2018-07-11-18:58:15.373508 updated agent
2018-07-11-18:58:15.475660 updated agent
2018-07-11-18:58:15.562900 updated agent
2018-07-11-18:58:15.663713 updated agent
2018-07-11-18:58:15.752992 updated agent
2018-07-11-18:58:15.845172 updated agent
2018-07-11-18:58:15.933690 updated agent
2018-07-11-18:58:16.027101 updated agent
2018-07-11-18:58:16.113929 updated agent
2018-07-11-18:58:16.203187 updated agent
2018-07-11-18:58:16.291100 updated agent
2018-07-11-18:58:16.395681 updated agent
2018-07-11-18:58:16.505877 updated agent
2018-07-11-18:58:16.597278 updated agent
2018-07-11-18:58:16.688632 updated agent
2018-07-11-18:58:16.775114 updated agent
2018-07-11-18:58:16.864404 updated agent
2018-07-11-18:58:16.951878 updated agent
2018-07-11-18:58:17.043056 updated agent
2018-07-11-18:58:17.144277 updated agent
2018-07-11-18:58:17.235346 updated agent
2018-07-11-18:58:17.323521 updated agent
2018-07-11-18:58:17.414670 updated agent
2018-07-11-18:58:17.500239 updated agent
2018-07-11-18:58:17.587627 updated agent
2018-07-11-18:58:17.672849 updated agent
2018-07-11-18:58:17.760851 updated agent
2018-07-11-18:58:17.851492 updated agent
2018-07-11-18:58:17.936861 updated agent
2018-07-11-18:58:18.026903 updated agent
2018-07-11-18:58:18.112524 updated agent
2018-07-11-18:58:18.198061 updated agent
2018-07-11-18:58:18.283791 updated agent
2018-07-11-18:58:18.371068 updated agent
